"","verbatimScientificName","X.1","X.2","X.3","X.4","X.5","X.6"
"78","Spirogyra borysthenica var. ehinospora Kazan. et Smirn.","Spirogyra borysthenica var. ehinospora","","","","",""
"79","Spirogyra maxima f. woronichinia Poljansk.","Spirogyra maxima f. woronichinia","","","","",""
"80","Spirogyra pseudowoodsii V.Poljansk.","Spirogyra pseudowoodsii","","","","",""
"81","Spirogyra pseudogranulata Ley","Spirogyra pseudogranulata","Spirogyra pseudogranulata S.-H.Ley","","","",""
"82","Scenedesmus polessicus P.Tsarenko","Scenedesmus polessicus","","","","",""
"83","Uronema confervicolum var. uncinatum Popova","Uronema confervicolum var. uncinatum","","","","",""
"84","Chara uzbekistanica Hollerb.","Chara uzbekistanica","","","","",""
"85","Chlamydomonas plurivacuolatum Wawrick","Chlamydomonas plurivacuolatum","","","","",""
"86","Chlamydomonas ucrainica Demchenko, A. Massalski, Kostikov & L. Hoffm.","Chlamydomonas ucrainica","","","","",""
"87","Melaspilea oxneri Makar.","Melaspilea oxneri","","","","",""
"88","Alburnus vulturius (Costa, 1838)","Alburnus vulturius","Alburnus albidus subsp. vulturius Sommani, 1951","Alburnus albidus (Costa, 1838)","Leuciscus vulturius Costa, 1838","",""
"89","Hyacinthoides vicentina (Hoffmanns. & Link) Rothm.","Hyacinthoides vicentina","","","","",""
"90","Teucrium salviastrum subsp. salviastrum Schreber","Teucrium salviastrum","Teucrium salviastrum Schreb.","Teucrium salviastrum subsp. salviastrum","Teucrium salviastrum salviastrum","",""
"91","Rubus genevieri subsp. herminii (Samp.) P.Cout.","Rubus genevieri subsp. Herminii","Rubus genevieri herminii","","","",""
"92","Scrophularia grandiflora subsp. grandiflora DC.","Scrophularia grandiflora","Scrophularia grandiflora DC.","","","",""
"93","Scrophularia berminii Hoffmanns & Link","Scrophularia berminii","Scrophularia berminii Null","","","",""
